emoji,int,hex
🅴,127348,0x1f174
🅵,127349,0x1f175
🅶,127350,0x1f176
🅷,127351,0x1f177
🅸,127352,0x1f178
🅹,127353,0x1f179
🅺,127354,0x1f17a
🅻,127355,0x1f17b
🅼,127356,0x1f17c
🅽,127357,0x1f17d
🅾,127358,0x1f17e
🅿,127359,0x1f17f
🆀,127360,0x1f180
🆁,127361,0x1f181
🆂,127362,0x1f182
🆃,127363,0x1f183
🆄,127364,0x1f184
🆅,127365,0x1f185
🆆,127366,0x1f186
🆇,127367,0x1f187
🆈,127368,0x1f188
🆉,127369,0x1f189
🆊,127370,0x1f18a
🆋,127371,0x1f18b
🆌,127372,0x1f18c
🆍,127373,0x1f18d
🆎,127374,0x1f18e
🆏,127375,0x1f18f
🆐,127376,0x1f190
🆑,127377,0x1f191
🆒,127378,0x1f192
🆓,127379,0x1f193
🆔,127380,0x1f194
🆕,127381,0x1f195
🆖,127382,0x1f196
🆗,127383,0x1f197
🆘,127384,0x1f198
🆙,127385,0x1f199
🆚,127386,0x1f19a

🇦,127462,0x1f1e6
🇧,127463,0x1f1e7
🇨,127464,0x1f1e8
🇩,127465,0x1f1e9
🇪,127466,0x1f1ea
🇫,127467,0x1f1eb
🇬,127468,0x1f1ec
🇭,127469,0x1f1ed
🇮,127470,0x1f1ee
🇯,127471,0x1f1ef
🇰,127472,0x1f1f0
🇱,127473,0x1f1f1
🇲,127474,0x1f1f2
🇳,127475,0x1f1f3
🇴,127476,0x1f1f4
🇵,127477,0x1f1f5
🇶,127478,0x1f1f6
🇷,127479,0x1f1f7
🇸,127480,0x1f1f8
🇹,127481,0x1f1f9
🇺,127482,0x1f1fa
🇻,127483,0x1f1fb
🇼,127484,0x1f1fc
🇽,127485,0x1f1fd
🇾,127486,0x1f1fe
🇿,127487,0x1f1ff
🈀,127488,0x1f200
🈁,127489,0x1f201
🈂,127490,0x1f202
🈃,127491,0x1f203
🈄,127492,0x1f204
🈅,127493,0x1f205
🈆,127494,0x1f206
🈇,127495,0x1f207
🈈,127496,0x1f208
🈉,127497,0x1f209
🈊,127498,0x1f20a
🈋,127499,0x1f20b
🈌,127500,0x1f20c
🈍,127501,0x1f20d
🈎,127502,0x1f20e
🈏,127503,0x1f20f
🈐,127504,0x1f210
🈑,127505,0x1f211
🈒,127506,0x1f212
🈓,127507,0x1f213
🈔,127508,0x1f214
🈕,127509,0x1f215
🈖,127510,0x1f216
🈗,127511,0x1f217
🈘,127512,0x1f218
🈙,127513,0x1f219
🈚,127514,0x1f21a
🈛,127515,0x1f21b
🈜,127516,0x1f21c
🈝,127517,0x1f21d
🈞,127518,0x1f21e
🈟,127519,0x1f21f
🈠,127520,0x1f220
🈡,127521,0x1f221
🈢,127522,0x1f222
🈣,127523,0x1f223
🈤,127524,0x1f224
🈥,127525,0x1f225
🈦,127526,0x1f226
🈧,127527,0x1f227
🈨,127528,0x1f228
🈩,127529,0x1f229
🈪,127530,0x1f22a
🈫,127531,0x1f22b
🈬,127532,0x1f22c
🈭,127533,0x1f22d
🈮,127534,0x1f22e
🈯,127535,0x1f22f
🈰,127536,0x1f230
🈱,127537,0x1f231
🈲,127538,0x1f232
🈳,127539,0x1f233
🈴,127540,0x1f234
🈵,127541,0x1f235
🈶,127542,0x1f236
🈷,127543,0x1f237
🈸,127544,0x1f238
🈹,127545,0x1f239
🈺,127546,0x1f23a
🈻,127547,0x1f23b
🈼,127548,0x1f23c
🈽,127549,0x1f23d
🈾,127550,0x1f23e
🈿,127551,0x1f23f
🉀,127552,0x1f240
🉁,127553,0x1f241
🉂,127554,0x1f242
🉃,127555,0x1f243
🉄,127556,0x1f244
🉅,127557,0x1f245
🉆,127558,0x1f246
🉇,127559,0x1f247
🉈,127560,0x1f248
🉉,127561,0x1f249
🉊,127562,0x1f24a
🉋,127563,0x1f24b
🉌,127564,0x1f24c
🉍,127565,0x1f24d
🉎,127566,0x1f24e
🉏,127567,0x1f24f
🉐,127568,0x1f250
🉑,127569,0x1f251

🌀,127744,0x1f300
🌁,127745,0x1f301
🌂,127746,0x1f302
🌃,127747,0x1f303
🌄,127748,0x1f304
🌅,127749,0x1f305
🌆,127750,0x1f306
🌇,127751,0x1f307
🌈,127752,0x1f308
🌉,127753,0x1f309
🌊,127754,0x1f30a
🌋,127755,0x1f30b
🌌,127756,0x1f30c
🌍,127757,0x1f30d
🌎,127758,0x1f30e
🌏,127759,0x1f30f
🌐,127760,0x1f310
🌑,127761,0x1f311
🌒,127762,0x1f312
🌓,127763,0x1f313
🌔,127764,0x1f314
🌕,127765,0x1f315
🌖,127766,0x1f316
🌗,127767,0x1f317
🌘,127768,0x1f318
🌙,127769,0x1f319
🌚,127770,0x1f31a
🌛,127771,0x1f31b
🌜,127772,0x1f31c
🌝,127773,0x1f31d
🌞,127774,0x1f31e
🌟,127775,0x1f31f
🌠,127776,0x1f320
🌡,127777,0x1f321
🌢,127778,0x1f322
🌣,127779,0x1f323
🌤,127780,0x1f324
🌥,127781,0x1f325
🌦,127782,0x1f326
🌧,127783,0x1f327
🌨,127784,0x1f328
🌩,127785,0x1f329
🌪,127786,0x1f32a
🌫,127787,0x1f32b
🌬,127788,0x1f32c
🌭,127789,0x1f32d
🌮,127790,0x1f32e
🌯,127791,0x1f32f
🌰,127792,0x1f330
🌱,127793,0x1f331
🌲,127794,0x1f332
🌳,127795,0x1f333
🌴,127796,0x1f334
🌵,127797,0x1f335
🌶,127798,0x1f336
🌷,127799,0x1f337
🌸,127800,0x1f338
🌹,127801,0x1f339
🌺,127802,0x1f33a
🌻,127803,0x1f33b
🌼,127804,0x1f33c
🌽,127805,0x1f33d
🌾,127806,0x1f33e
🌿,127807,0x1f33f
🍀,127808,0x1f340
🍁,127809,0x1f341
🍂,127810,0x1f342
🍃,127811,0x1f343
🍄,127812,0x1f344
🍅,127813,0x1f345
🍆,127814,0x1f346
🍇,127815,0x1f347
🍈,127816,0x1f348
🍉,127817,0x1f349
🍊,127818,0x1f34a
🍋,127819,0x1f34b
🍌,127820,0x1f34c
🍍,127821,0x1f34d
🍎,127822,0x1f34e
🍏,127823,0x1f34f
🍐,127824,0x1f350
🍑,127825,0x1f351
🍒,127826,0x1f352
🍓,127827,0x1f353
🍔,127828,0x1f354
🍕,127829,0x1f355
🍖,127830,0x1f356
🍗,127831,0x1f357
🍘,127832,0x1f358
🍙,127833,0x1f359
🍚,127834,0x1f35a
🍛,127835,0x1f35b
🍜,127836,0x1f35c
🍝,127837,0x1f35d
🍞,127838,0x1f35e
🍟,127839,0x1f35f
🍠,127840,0x1f360
🍡,127841,0x1f361
🍢,127842,0x1f362
🍣,127843,0x1f363
🍤,127844,0x1f364
🍥,127845,0x1f365
🍦,127846,0x1f366
🍧,127847,0x1f367
🍨,127848,0x1f368
🍩,127849,0x1f369
🍪,127850,0x1f36a
🍫,127851,0x1f36b
🍬,127852,0x1f36c
🍭,127853,0x1f36d
🍮,127854,0x1f36e
🍯,127855,0x1f36f
🍰,127856,0x1f370
🍱,127857,0x1f371
🍲,127858,0x1f372
🍳,127859,0x1f373
🍴,127860,0x1f374
🍵,127861,0x1f375
🍶,127862,0x1f376
🍷,127863,0x1f377
🍸,127864,0x1f378
🍹,127865,0x1f379
🍺,127866,0x1f37a
🍻,127867,0x1f37b
🍼,127868,0x1f37c
🍽,127869,0x1f37d
🍾,127870,0x1f37e
🍿,127871,0x1f37f
🎀,127872,0x1f380
🎁,127873,0x1f381
🎂,127874,0x1f382
🎃,127875,0x1f383
🎄,127876,0x1f384
🎅,127877,0x1f385
🎆,127878,0x1f386
🎇,127879,0x1f387
🎈,127880,0x1f388
🎉,127881,0x1f389
🎊,127882,0x1f38a
🎋,127883,0x1f38b
🎌,127884,0x1f38c
🎍,127885,0x1f38d
🎎,127886,0x1f38e
🎏,127887,0x1f38f
🎐,127888,0x1f390
🎑,127889,0x1f391
🎒,127890,0x1f392
🎓,127891,0x1f393
🎔,127892,0x1f394
🎕,127893,0x1f395
🎖,127894,0x1f396
🎗,127895,0x1f397
🎘,127896,0x1f398
🎙,127897,0x1f399
🎚,127898,0x1f39a
🎛,127899,0x1f39b
🎜,127900,0x1f39c
🎝,127901,0x1f39d
🎞,127902,0x1f39e
🎟,127903,0x1f39f
🎠,127904,0x1f3a0
